,accuracy,precision,recall,f1,roc auc
AdaBoostClassifier,0.779018492176387,0.784038924339604,0.779018492176387,0.7759079644741329,0.8253663003663003
GradientBoostingClassifier,0.8058321479374111,0.8102014944883434,0.8058321479374111,0.8034584367954661,0.860599816849817
RandomForestClassifier,0.808819345661451,0.8177167220638077,0.808819345661451,0.8093146709507751,0.8884844322344323
KNeighborsClassifier,0.7926742532005691,0.794907271052008,0.7926742532005691,0.7894887151564411,0.8312957875457874
LinearSVC,0.8061877667140825,0.8121219349747415,0.8061877667140825,0.806536281435901,
