,accuracy,precision,recall,f1,roc auc
AdaBoostClassifier,0.854054054054054,0.8568081086815775,0.854054054054054,0.8534190022010322,0.929185606060606
GradientBoostingClassifier,0.8591749644381224,0.8607960122738356,0.8591749644381224,0.8591875612082394,0.9218560606060606
RandomForestClassifier,0.8432432432432432,0.8472134073587163,0.8432432432432432,0.8420417483688833,0.9068560606060606
KNeighborsClassifier,0.680796586059744,0.7163802089458735,0.680796586059744,0.6179875621749155,0.7520265151515151
LinearSVC,0.8140825035561878,0.8323417653648223,0.8140825035561878,0.8150878342293618,
