,accuracy,precision,recall,f1,roc auc
AdaBoostClassifier,0.8086770981507824,0.8124943764652212,0.8086770981507824,0.8051230964284988,0.8519001831501832
GradientBoostingClassifier,0.8082503556187767,0.8096300641243432,0.8082503556187767,0.8073416393394875,0.8528617216117216
RandomForestClassifier,0.8086059743954481,0.8119377742021946,0.8086059743954481,0.8056815999379454,0.8840888278388277
KNeighborsClassifier,0.7874110953058321,0.7901321448375225,0.7874110953058321,0.784758327375466,0.8222641941391942
LinearSVC,0.8220483641536273,0.8312638574638171,0.8220483641536273,0.8225460527046824,0.8657051282051282
