,accuracy,precision,recall,f1,roc auc
AdaBoostClassifier,0.8458036984352774,0.8517529740132485,0.8458036984352774,0.8447193092429351,0.8965537361189535
GradientBoostingClassifier,0.843172119487909,0.8484974093697003,0.843172119487909,0.842611571186433,0.9250818746470921
RandomForestClassifier,0.808534850640114,0.8165832422322599,0.808534850640114,0.8010557772798276,0.8872200263504612
KNeighborsClassifier,0.6810810810810811,0.7295368427423943,0.6810810810810811,0.6248847286202863,0.6894701675136459
LinearSVC,0.7660028449502134,0.808962329076409,0.7660028449502134,0.7671816614499541,0.852111801242236
