,accuracy,precision,recall,f1,roc auc
AdaBoostClassifier,0.5983446041138349,0.5919771816285962,0.5983446041138349,0.5504018570418608,0.6587098824393097
GradientBoostingClassifier,0.6054240631163709,0.5619198668085102,0.6054240631163709,0.5560309735652421,0.7013620407401037
RandomForestClassifier,0.5817413355874894,0.5577300961198787,0.5817413355874894,0.5573920972944484,0.681636653107045
KNeighborsClassifier,0.5580515638207946,0.5101277725373364,0.5580515638207946,0.45720365196796064,0.5517326062170362
LinearSVC,0.3577979712595097,0.5153823067253851,0.3577979712595097,0.2793449777017998,
