,accuracy,precision,recall,f1,roc auc
AdaBoostClassifier,0.5391176470588235,0.5230703286013615,0.5391176470588235,0.5266611438047731,0.6285244638142676
GradientBoostingClassifier,0.588893557422969,0.5734191081578798,0.588893557422969,0.556228177394468,0.6626548303823312
RandomForestClassifier,0.5934733893557422,0.5410127526622349,0.5934733893557422,0.5174006262637791,0.6584950391934541
KNeighborsClassifier,0.5319747899159665,0.5140255642898351,0.5319747899159665,0.5125894302914034,0.6062552339104477
LinearSVC,0.48457983193277315,0.49728192979444225,0.48457983193277315,0.4875607538371628,
