,accuracy,precision,recall,f1,roc auc
AdaBoostClassifier,0.5579551820728291,0.5366836037128373,0.5579551820728291,0.5383995500654042,0.6606863937122806
GradientBoostingClassifier,0.5983613445378151,0.5763559085885872,0.5983613445378151,0.5489807887982193,0.6882602039770772
RandomForestClassifier,0.5758403361344537,0.5096146573589831,0.5758403361344537,0.4791817773592452,0.6673026758950195
KNeighborsClassifier,0.5094817927170868,0.4722114835182567,0.5094817927170868,0.46581584095411566,0.5402810439222063
LinearSVC,0.33057422969187683,0.45951247804248013,0.33057422969187683,0.2479573971098044,
