,accuracy,precision,recall,f1,roc auc
AdaBoostClassifier,0.5592138630600169,0.5499969819013368,0.5592138630600169,0.5442191032584646,0.645283666759841
GradientBoostingClassifier,0.5994928148774303,0.582670641922436,0.5994928148774303,0.5677348958993366,0.7046388126385623
RandomForestClassifier,0.5663285432516201,0.5682847810513522,0.5663285432516203,0.564183911611513,0.688167584581409
KNeighborsClassifier,0.534411101718794,0.4944836748738278,0.534411101718794,0.49841662873444487,0.6196911775862467
LinearSVC,0.5248732037193575,0.5498785494449502,0.5248732037193575,0.5233044277273813,
